occurrance|characterCount|wordCount
activate.v.bnc.01276214|171|29
activate.v.bnc.01276219|116|22
activate.v.bnc.01279048|274|52
activate.v.bnc.01292892|427|77
activate.v.bnc.01308739|395|64
activate.v.bnc.01318494|79|11
activate.v.bnc.01366679|430|80
activate.v.bnc.01371077|504|71
activate.v.bnc.01371597|305|52
activate.v.bnc.01371666|307|48
activate.v.bnc.01372084|313|56
activate.v.bnc.01372090|605|112
activate.v.bnc.01374857|424|71
activate.v.bnc.01415729|279|54
activate.v.bnc.01450597|242|43
activate.v.bnc.01450608|233|38
activate.v.bnc.01464815|311|59
activate.v.bnc.01479895|145|32
activate.v.bnc.01513543|204|35
activate.v.bnc.01597373|269|52
activate.v.bnc.01604532|255|45
activate.v.bnc.01605268|288|44
activate.v.bnc.01605269|263|40
activate.v.bnc.01605415|433|74
activate.v.bnc.01650342|266|52
activate.v.bnc.01716937|305|61
activate.v.bnc.01731519|320|56
activate.v.bnc.01731520|355|56
activate.v.bnc.01762238|324|58
activate.v.bnc.01767619|407|76
activate.v.bnc.01768110|294|53
activate.v.bnc.01772038|183|33
activate.v.bnc.01775004|506|91
activate.v.bnc.01775428|261|44
activate.v.bnc.01808341|188|37
activate.v.bnc.01819409|89|15
activate.v.bnc.01819427|376|71
activate.v.bnc.01819946|61|13
activate.v.bnc.01820100|253|50
activate.v.bnc.01820168|137|28
activate.v.bnc.01820220|50|10
activate.v.bnc.01820329|116|23
activate.v.bnc.01833487|775|132
activate.v.bnc.01840231|219|42
activate.v.bnc.01850569|482|79
activate.v.bnc.01870620|382|77
activate.v.bnc.01874636|559|99
activate.v.bnc.01876754|471|78
activate.v.bnc.01878690|418|71
activate.v.bnc.01884671|316|54
activate.v.bnc.01884953|123|20
activate.v.bnc.01898698|29|6
activate.v.bnc.01898896|209|37
activate.v.bnc.01899500|167|34
activate.v.bnc.01899834|141|24
activate.v.bnc.01899966|221|39
activate.v.bnc.01900282|367|74
activate.v.bnc.01918875|252|40
activate.v.bnc.01919328|328|52
activate.v.bnc.01919637|157|28
activate.v.bnc.01919639|396|65
activate.v.bnc.01919761|378|64
activate.v.bnc.01919762|346|60
activate.v.bnc.01919846|410|71
activate.v.bnc.01919884|273|47
activate.v.bnc.01919885|211|34
activate.v.bnc.01920012|378|64
activate.v.bnc.01927086|222|43
activate.v.bnc.01967270|471|72
activate.v.bnc.01967564|655|112
activate.v.bnc.01971058|515|76
activate.v.bnc.01973574|331|59
activate.v.bnc.01992378|230|39
activate.v.bnc.01992435|233|37
activate.v.bnc.02009265|507|85
activate.v.bnc.02009557|447|79
activate.v.bnc.02009576|325|64
activate.v.bnc.02009592|507|90
activate.v.bnc.02009633|271|52
activate.v.bnc.02009835|298|61
activate.v.bnc.02010353|442|74
activate.v.bnc.02010632|617|97
activate.v.bnc.02011552|404|77
activate.v.bnc.02012206|302|61
activate.v.bnc.02012483|256|43
activate.v.bnc.02012898|388|69
activate.v.bnc.02013464|466|80
activate.v.bnc.02013514|256|41
activate.v.bnc.02013578|521|101
activate.v.bnc.02013902|356|57
activate.v.bnc.02014009|352|58
activate.v.bnc.02014015|353|70
activate.v.bnc.02014485|372|54
activate.v.bnc.02015246|641|98
activate.v.bnc.02015290|354|58
activate.v.bnc.02015368|481|86
activate.v.bnc.02015487|279|45
activate.v.bnc.02015488|238|44
activate.v.bnc.02015531|465|80
activate.v.bnc.02016404|318|56
activate.v.bnc.02016434|365|71
add.v.bnc.00000134|238|49
add.v.bnc.00000242|141|28
add.v.bnc.00000837|75|19
add.v.bnc.00001199|232|40
add.v.bnc.00001354|370|67
add.v.bnc.00002656|504|107
add.v.bnc.00002929|260|44
add.v.bnc.00003185|336|61
add.v.bnc.00003517|218|48
add.v.bnc.00004108|162|30
add.v.bnc.00004995|159|37
add.v.bnc.00005300|287|55
add.v.bnc.00007372|350|65
add.v.bnc.00008460|343|59
add.v.bnc.00008483|208|40
add.v.bnc.00008600|298|52
add.v.bnc.00008821|203|36
add.v.bnc.00009401|189|33
add.v.bnc.00009868|189|40
add.v.bnc.00010334|98|22
add.v.bnc.00010914|198|44
add.v.bnc.00010915|91|23
add.v.bnc.00010917|80|16
add.v.bnc.00010976|250|54
add.v.bnc.00011300|173|37
add.v.bnc.00011632|135|28
add.v.bnc.00012510|134|28
add.v.bnc.00012791|251|48
add.v.bnc.00012794|210|39
add.v.bnc.00012805|245|46
add.v.bnc.00012809|379|73
add.v.bnc.00012825|333|64
add.v.bnc.00013273|384|67
add.v.bnc.00013309|379|63
add.v.bnc.00013575|353|67
add.v.bnc.00013679|259|46
add.v.bnc.00013721|164|35
add.v.bnc.00013726|362|64
add.v.bnc.00013819|320|58
add.v.bnc.00013824|357|61
add.v.bnc.00013896|287|49
add.v.bnc.00013949|223|46
add.v.bnc.00014126|443|77
add.v.bnc.00014153|233|42
add.v.bnc.00014249|321|60
add.v.bnc.00014437|183|34
add.v.bnc.00014535|287|54
add.v.bnc.00014566|247|43
add.v.bnc.00014569|221|35
add.v.bnc.00014608|331|61
add.v.bnc.00014806|204|37
add.v.bnc.00014903|157|27
add.v.bnc.00014953|44|9
add.v.bnc.00014985|147|29
add.v.bnc.00015180|219|42
add.v.bnc.00015183|206|41
add.v.bnc.00015537|415|83
add.v.bnc.00016810|99|18
add.v.bnc.00018010|183|36
add.v.bnc.00018111|137|32
add.v.bnc.00018127|260|55
add.v.bnc.00018185|127|26
add.v.bnc.00018979|336|57
add.v.bnc.00019293|152|32
add.v.bnc.00020090|156|35
add.v.bnc.00020095|177|34
add.v.bnc.00021738|115|27
add.v.bnc.00021833|108|25
add.v.bnc.00022585|185|37
add.v.bnc.00022734|265|51
add.v.bnc.00022871|320|58
add.v.bnc.00023430|293|50
add.v.bnc.00023809|144|30
add.v.bnc.00023970|240|42
add.v.bnc.00024311|282|50
add.v.bnc.00024542|370|66
add.v.bnc.00024894|135|26
add.v.bnc.00025540|169|37
add.v.bnc.00025869|264|54
add.v.bnc.00026321|294|57
add.v.bnc.00028788|244|46
add.v.bnc.00029027|234|45
add.v.bnc.00031073|172|29
add.v.bnc.00035306|265|50
add.v.bnc.00035438|349|60
add.v.bnc.00036877|108|25
add.v.bnc.00036983|445|84
add.v.bnc.00037220|219|44
add.v.bnc.00038486|110|20
add.v.bnc.00038507|420|83
add.v.bnc.00038608|447|82
add.v.bnc.00038653|253|56
add.v.bnc.00038708|354|62
add.v.bnc.00038723|457|94
add.v.bnc.00038850|286|56
add.v.bnc.00038978|309|63
add.v.bnc.00039133|130|24
add.v.bnc.00039182|251|48
add.v.bnc.00039224|507|94
add.v.bnc.00039356|497|88
add.v.bnc.00039651|417|76
add.v.bnc.00039863|217|43
add.v.bnc.00039877|401|72
add.v.bnc.00040001|274|59
add.v.bnc.00040004|359|71
add.v.bnc.00040011|474|83
add.v.bnc.00040043|363|76
add.v.bnc.00040122|185|32
add.v.bnc.00040318|292|58
add.v.bnc.00040589|177|35
add.v.bnc.00040935|150|29
add.v.bnc.00040941|262|52
add.v.bnc.00041012|186|41
add.v.bnc.00041919|74|15
add.v.bnc.00042375|271|50
add.v.bnc.00042378|184|37
add.v.bnc.00042847|117|26
add.v.bnc.00042899|157|30
add.v.bnc.00044069|336|65
add.v.bnc.00044671|363|67
add.v.bnc.00046656|299|63
add.v.bnc.00047161|114|22
add.v.bnc.00047912|329|59
add.v.bnc.00047961|177|36
add.v.bnc.00048137|341|67
add.v.bnc.00048402|113|23
add.v.bnc.00049964|161|33
add.v.bnc.00050170|509|98
add.v.bnc.00051014|260|51
add.v.bnc.00052491|172|36
add.v.bnc.00053305|186|40
add.v.bnc.00053418|325|58
add.v.bnc.00054172|392|69
add.v.bnc.00054189|928|161
add.v.bnc.00054606|395|69
add.v.bnc.00054628|514|88
add.v.bnc.00054929|389|65
add.v.bnc.00055404|203|41
add.v.bnc.00055533|334|60
add.v.bnc.00055611|402|67
add.v.bnc.00055767|496|92
add.v.bnc.00056580|300|56
add.v.bnc.00056601|185|34
add.v.bnc.00056620|434|79
add.v.bnc.00056714|388|64
add.v.bnc.00056889|276|49
add.v.bnc.00057107|141|29
add.v.bnc.00057582|230|46
add.v.bnc.00057771|293|55
add.v.bnc.00057805|85|17
add.v.bnc.00057808|169|29
add.v.bnc.00057809|112|20
add.v.bnc.00058057|219|40
add.v.bnc.00058272|265|46
add.v.bnc.00058520|205|47
add.v.bnc.00058537|247|45
add.v.bnc.00058607|208|41
add.v.bnc.00058615|314|58
add.v.bnc.00058623|283|48
add.v.bnc.00058674|247|48
add.v.bnc.00059115|206|40
add.v.bnc.00059143|208|39
add.v.bnc.00059308|338|62
add.v.bnc.00059659|275|48
add.v.bnc.00060320|229|41
add.v.bnc.00060337|251|48
add.v.bnc.00060480|389|75
add.v.bnc.00060496|224|46
add.v.bnc.00060497|488|101
add.v.bnc.00060898|248|48
add.v.bnc.00060947|243|45
add.v.bnc.00061028|543|102
add.v.bnc.00061084|298|60
add.v.bnc.00061085|379|74
add.v.bnc.00061208|162|26
add.v.bnc.00061306|200|42
add.v.bnc.00061375|204|41
add.v.bnc.00061516|300|51
add.v.bnc.00061683|379|69
add.v.bnc.00062238|427|72
add.v.bnc.00062241|127|28
add.v.bnc.00062412|240|47
add.v.bnc.00062490|298|54
add.v.bnc.00062518|166|36
add.v.bnc.00062870|187|33
add.v.bnc.00063358|201|40
add.v.bnc.00063363|142|27
add.v.bnc.00063659|145|29
add.v.bnc.00064502|483|86
add.v.bnc.00064530|172|35
add.v.bnc.00064545|298|55
add.v.bnc.00064769|185|39
add.v.bnc.00065123|123|21
add.v.bnc.00065379|289|50
add.v.bnc.00065385|440|80
add.v.bnc.00065618|288|55
add.v.bnc.00065634|218|44
add.v.bnc.00065829|553|103
add.v.bnc.00066143|328|68
add.v.bnc.00066205|223|39
add.v.bnc.00066635|350|65
add.v.bnc.00066952|241|42
add.v.bnc.00067086|347|65
add.v.bnc.00067129|300|56
add.v.bnc.00067159|214|46
add.v.bnc.00067172|305|64
add.v.bnc.00068057|263|47
add.v.bnc.00068081|301|54
add.v.bnc.00068724|465|79
add.v.bnc.00068729|297|48
add.v.bnc.00068764|457|82
add.v.bnc.00069560|706|132
add.v.bnc.00069870|313|62
add.v.bnc.00071480|395|69
add.v.bnc.00072056|280|54
add.v.bnc.00072076|339|61
add.v.bnc.00072162|208|39
add.v.bnc.00072258|228|42
add.v.bnc.00072654|377|67
add.v.bnc.00073840|109|17
add.v.bnc.00074093|198|41
add.v.bnc.00074669|248|46
add.v.bnc.00074887|242|48
add.v.bnc.00074923|217|46
add.v.bnc.00075457|354|59
add.v.bnc.00075502|467|83
add.v.bnc.00075641|239|43
add.v.bnc.00075680|207|39
add.v.bnc.00075761|317|57
add.v.bnc.00075994|198|37
add.v.bnc.00076175|214|43
add.v.bnc.00076807|471|84
add.v.bnc.00077184|303|54
add.v.bnc.00077346|260|48
add.v.bnc.00077414|158|25
add.v.bnc.00077920|444|78
add.v.bnc.00078254|284|55
add.v.bnc.00078266|212|44
add.v.bnc.00078270|428|73
add.v.bnc.00078359|277|49
add.v.bnc.00078553|223|43
add.v.bnc.00078560|186|33
add.v.bnc.00078855|217|39
add.v.bnc.00079064|223|38
add.v.bnc.00079408|201|37
add.v.bnc.00079536|282|49
add.v.bnc.00080084|281|52
add.v.bnc.00080105|216|37
add.v.bnc.00080114|278|47
add.v.bnc.00080401|338|56
add.v.bnc.00080413|424|77
add.v.bnc.00080895|338|65
add.v.bnc.00081248|436|70
add.v.bnc.00081396|313|51
add.v.bnc.00081724|375|64
add.v.bnc.00081742|230|44
add.v.bnc.00081819|504|85
add.v.bnc.00081848|182|31
add.v.bnc.00082067|176|32
add.v.bnc.00082142|366|60
add.v.bnc.00082680|383|66
add.v.bnc.00083128|173|29
add.v.bnc.00083170|334|61
appear.v.bnc.00001483|863|141
appear.v.bnc.00001526|536|92
appear.v.bnc.00002124|224|45
appear.v.bnc.00002174|333|60
appear.v.bnc.00002237|206|39
appear.v.bnc.00002400|410|64
appear.v.bnc.00002406|522|98
appear.v.bnc.00002506|456|80
appear.v.bnc.00002569|317|55
appear.v.bnc.00003345|207|34
appear.v.bnc.00003351|463|88
appear.v.bnc.00003366|246|41
appear.v.bnc.00003471|304|57
appear.v.bnc.00003527|421|78
appear.v.bnc.00003569|438|78
appear.v.bnc.00003589|307|53
appear.v.bnc.00003619|302|54
appear.v.bnc.00003757|341|68
appear.v.bnc.00003961|562|100
appear.v.bnc.00004035|172|34
appear.v.bnc.00004058|351|67
appear.v.bnc.00004079|355|75
appear.v.bnc.00004128|215|44
appear.v.bnc.00004140|356|70
appear.v.bnc.00004215|327|58
appear.v.bnc.00004217|193|40
appear.v.bnc.00004248|255|51
appear.v.bnc.00004276|286|54
appear.v.bnc.00004690|625|106
appear.v.bnc.00004781|532|102
appear.v.bnc.00004792|243|41
appear.v.bnc.00004902|417|79
appear.v.bnc.00004960|136|30
appear.v.bnc.00004961|191|41
appear.v.bnc.00005076|511|103
appear.v.bnc.00005089|546|107
appear.v.bnc.00005194|529|103
appear.v.bnc.00005202|194|35
appear.v.bnc.00005223|706|132
appear.v.bnc.00005242|297|61
appear.v.bnc.00005303|273|56
appear.v.bnc.00005332|370|69
appear.v.bnc.00005391|216|42
appear.v.bnc.00005483|232|43
appear.v.bnc.00005497|210|45
appear.v.bnc.00005591|286|56
appear.v.bnc.00005603|146|29
appear.v.bnc.00007723|141|27
appear.v.bnc.00007933|253|47
appear.v.bnc.00008073|262|48
appear.v.bnc.00008109|299|53
appear.v.bnc.00008142|326|55
appear.v.bnc.00008331|454|76
appear.v.bnc.00008339|224|34
appear.v.bnc.00008416|557|85
appear.v.bnc.00008579|287|54
appear.v.bnc.00008581|302|53
appear.v.bnc.00008614|465|86
appear.v.bnc.00008643|299|53
appear.v.bnc.00008661|644|117
appear.v.bnc.00008944|308|52
appear.v.bnc.00008956|468|84
appear.v.bnc.00008982|520|87
appear.v.bnc.00008984|131|24
appear.v.bnc.00008990|462|78
appear.v.bnc.00009015|645|106
appear.v.bnc.00009024|328|57
appear.v.bnc.00009025|238|40
appear.v.bnc.00009090|482|76
appear.v.bnc.00009115|215|39
appear.v.bnc.00009148|310|53
appear.v.bnc.00009163|143|26
appear.v.bnc.00009234|456|87
appear.v.bnc.00009467|553|97
appear.v.bnc.00009484|212|35
appear.v.bnc.00010984|504|99
appear.v.bnc.00011384|191|39
appear.v.bnc.00012796|333|64
appear.v.bnc.00013102|474|84
appear.v.bnc.00013229|266|47
appear.v.bnc.00013289|459|83
appear.v.bnc.00013299|317|50
appear.v.bnc.00013313|332|59
appear.v.bnc.00013859|544|94
appear.v.bnc.00015336|299|56
appear.v.bnc.00015362|104|19
appear.v.bnc.00015453|279|56
appear.v.bnc.00015589|226|41
appear.v.bnc.00015679|309|55
appear.v.bnc.00015691|206|41
appear.v.bnc.00015699|262|52
appear.v.bnc.00015828|101|19
appear.v.bnc.00015902|276|59
appear.v.bnc.00016826|83|17
appear.v.bnc.00017088|146|31
appear.v.bnc.00017208|34|8
appear.v.bnc.00017320|444|83
appear.v.bnc.00017994|324|64
appear.v.bnc.00018372|188|36
appear.v.bnc.00019080|211|42
appear.v.bnc.00019214|279|51
appear.v.bnc.00019643|411|71
appear.v.bnc.00020103|264|49
appear.v.bnc.00020650|168|34
appear.v.bnc.00020824|87|16
appear.v.bnc.00021279|249|51
appear.v.bnc.00023220|252|51
appear.v.bnc.00023567|161|23
appear.v.bnc.00023777|309|59
appear.v.bnc.00024104|285|51
appear.v.bnc.00024140|138|24
appear.v.bnc.00024353|225|40
appear.v.bnc.00024401|141|23
appear.v.bnc.00024438|212|42
appear.v.bnc.00024493|236|39
appear.v.bnc.00026167|382|75
appear.v.bnc.00026678|291|53
appear.v.bnc.00028068|130|24
appear.v.bnc.00028072|143|27
appear.v.bnc.00028076|107|19
appear.v.bnc.00029530|568|104
appear.v.bnc.00029559|296|53
appear.v.bnc.00029991|202|37
appear.v.bnc.00031527|197|41
appear.v.bnc.00031812|88|17
appear.v.bnc.00032010|157|31
appear.v.bnc.00032512|107|22
appear.v.bnc.00034467|261|50
appear.v.bnc.00034605|232|47
appear.v.bnc.00036455|615|109
appear.v.bnc.00036581|594|105
appear.v.bnc.00038138|191|37
appear.v.bnc.00038426|303|55
appear.v.bnc.00038560|336|61
appear.v.bnc.00038769|298|54
appear.v.bnc.00038775|584|116
appear.v.bnc.00038851|288|54
appear.v.bnc.00038931|144|24
appear.v.bnc.00039072|418|84
appear.v.bnc.00039775|237|46
appear.v.bnc.00040189|390|80
appear.v.bnc.00041809|192|41
appear.v.bnc.00041976|196|40
appear.v.bnc.00043091|177|39
appear.v.bnc.00044039|286|50
appear.v.bnc.00044166|500|91
appear.v.bnc.00044440|254|48
appear.v.bnc.00044763|320|58
appear.v.bnc.00044874|408|72
appear.v.bnc.00045220|257|47
appear.v.bnc.00045981|308|61
appear.v.bnc.00047029|320|60
appear.v.bnc.00047046|113|24
appear.v.bnc.00047165|495|92
appear.v.bnc.00047401|303|58
appear.v.bnc.00048068|567|100
appear.v.bnc.00050058|287|51
appear.v.bnc.00050266|210|44
appear.v.bnc.00050399|294|54
appear.v.bnc.00050413|388|78
appear.v.bnc.00050888|236|46
appear.v.bnc.00050921|111|24
appear.v.bnc.00051060|692|125
appear.v.bnc.00051169|119|23
appear.v.bnc.00051664|503|94
appear.v.bnc.00052827|403|77
appear.v.bnc.00052833|293|49
appear.v.bnc.00053475|605|113
appear.v.bnc.00053572|188|34
appear.v.bnc.00053961|243|42
appear.v.bnc.00054010|450|83
appear.v.bnc.00054013|499|94
appear.v.bnc.00054042|410|66
appear.v.bnc.00054207|163|31
appear.v.bnc.00054388|226|42
appear.v.bnc.00054599|307|55
appear.v.bnc.00055336|417|67
appear.v.bnc.00055450|204|43
appear.v.bnc.00055581|399|76
appear.v.bnc.00055617|428|78
appear.v.bnc.00055633|210|42
appear.v.bnc.00055875|182|36
appear.v.bnc.00055932|136|28
appear.v.bnc.00056148|335|64
appear.v.bnc.00056169|159|24
appear.v.bnc.00056224|388|75
appear.v.bnc.00056306|352|71
appear.v.bnc.00056484|314|51
appear.v.bnc.00056614|738|152
appear.v.bnc.00056670|316|61
appear.v.bnc.00056694|581|100
appear.v.bnc.00056730|257|44
appear.v.bnc.00056780|409|81
appear.v.bnc.00056956|151|30
appear.v.bnc.00056967|311|56
appear.v.bnc.00056992|504|86
appear.v.bnc.00057007|375|66
appear.v.bnc.00057073|261|46
appear.v.bnc.00057208|470|79
appear.v.bnc.00057224|178|36
appear.v.bnc.00057338|292|52
appear.v.bnc.00057342|353|64
appear.v.bnc.00057354|276|50
appear.v.bnc.00057357|244|46
appear.v.bnc.00057390|330|64
appear.v.bnc.00057495|204|37
appear.v.bnc.00057497|457|82
appear.v.bnc.00057498|467|81
appear.v.bnc.00057612|375|61
appear.v.bnc.00058456|298|61
appear.v.bnc.00058754|198|36
appear.v.bnc.00059037|267|48
appear.v.bnc.00059052|401|74
appear.v.bnc.00059359|306|54
appear.v.bnc.00059361|279|54
appear.v.bnc.00059412|265|50
appear.v.bnc.00059523|298|50
appear.v.bnc.00059536|332|64
appear.v.bnc.00059590|206|38
appear.v.bnc.00059827|308|65
appear.v.bnc.00060384|287|59
appear.v.bnc.00060391|230|44
appear.v.bnc.00060455|239|48
appear.v.bnc.00060675|310|56
appear.v.bnc.00060741|122|23
appear.v.bnc.00061544|302|52
appear.v.bnc.00062399|205|38
appear.v.bnc.00064434|379|67
appear.v.bnc.00064440|176|28
appear.v.bnc.00064473|272|49
appear.v.bnc.00064590|261|47
appear.v.bnc.00064601|585|102
appear.v.bnc.00064602|599|105
appear.v.bnc.00064609|290|53
appear.v.bnc.00064652|576|108
appear.v.bnc.00064711|50|11
appear.v.bnc.00064773|239|42
appear.v.bnc.00064801|370|73
appear.v.bnc.00064832|337|62
appear.v.bnc.00064919|298|58
appear.v.bnc.00065124|113|18
appear.v.bnc.00065231|309|56
appear.v.bnc.00065257|184|33
appear.v.bnc.00065420|67|11
appear.v.bnc.00065519|336|63
appear.v.bnc.00065813|378|81
appear.v.bnc.00065966|368|66
appear.v.bnc.00065981|193|33
appear.v.bnc.00065983|80|13
appear.v.bnc.00066305|397|70
appear.v.bnc.00066424|232|41
appear.v.bnc.00066483|356|56
appear.v.bnc.00066491|566|91
appear.v.bnc.00066536|230|43
appear.v.bnc.00066574|177|33
appear.v.bnc.00066623|471|99
appear.v.bnc.00067384|286|53
appear.v.bnc.00067408|79|18
appear.v.bnc.00067431|172|37
appear.v.bnc.00067433|273|51
appear.v.bnc.00067635|229|36
appear.v.bnc.00067978|390|75
appear.v.bnc.00068051|359|61
appear.v.bnc.00068288|321|60
appear.v.bnc.00068627|408|71
argument.n.bnc.00002440|402|73
argument.n.bnc.00002977|466|79
argument.n.bnc.00002978|257|45
argument.n.bnc.00002992|280|50
argument.n.bnc.00003025|181|31
argument.n.bnc.00008636|311|56
argument.n.bnc.00008696|309|48
argument.n.bnc.00008957|430|78
argument.n.bnc.00009016|478|86
argument.n.bnc.00009161|396|68
argument.n.bnc.00009173|340|63
argument.n.bnc.00009203|248|40
argument.n.bnc.00009486|440|74
argument.n.bnc.00009487|414|64
argument.n.bnc.00009502|295|48
argument.n.bnc.00009507|328|57
argument.n.bnc.00009513|232|44
argument.n.bnc.00009525|510|84
argument.n.bnc.00009531|580|102
argument.n.bnc.00009532|429|76
argument.n.bnc.00009543|283|43
argument.n.bnc.00009546|301|53
argument.n.bnc.00010758|311|59
argument.n.bnc.00016270|363|73
argument.n.bnc.00017297|213|41
argument.n.bnc.00019934|103|21
argument.n.bnc.00025282|146|29
argument.n.bnc.00029218|511|83
argument.n.bnc.00029300|726|129
argument.n.bnc.00029778|440|84
argument.n.bnc.00030254|301|47
argument.n.bnc.00035801|285|56
argument.n.bnc.00035813|348|68
argument.n.bnc.00036102|165|32
argument.n.bnc.00037353|117|21
argument.n.bnc.00037389|85|15
argument.n.bnc.00038199|332|58
argument.n.bnc.00038831|200|37
argument.n.bnc.00043700|287|56
argument.n.bnc.00043712|327|66
argument.n.bnc.00043752|281|52
argument.n.bnc.00043771|259|47
argument.n.bnc.00043785|392|63
argument.n.bnc.00043876|447|81
argument.n.bnc.00043899|354|67
argument.n.bnc.00043947|770|132
argument.n.bnc.00044002|363|58
argument.n.bnc.00044044|308|55
argument.n.bnc.00044246|468|90
argument.n.bnc.00044252|319|57
argument.n.bnc.00044580|337|50
argument.n.bnc.00044610|514|91
argument.n.bnc.00044612|362|63
argument.n.bnc.00044809|445|70
argument.n.bnc.00044962|325|57
argument.n.bnc.00044999|359|68
argument.n.bnc.00045517|64|10
argument.n.bnc.00047986|319|59
argument.n.bnc.00048268|430|77
argument.n.bnc.00055558|284|43
argument.n.bnc.00058665|269|50
argument.n.bnc.00059516|302|56
argument.n.bnc.00059522|259|42
argument.n.bnc.00059536|332|64
argument.n.bnc.00060153|156|29
argument.n.bnc.00060418|263|50
argument.n.bnc.00060742|107|21
argument.n.bnc.00064359|182|39
argument.n.bnc.00064888|261|53
argument.n.bnc.00064957|426|80
argument.n.bnc.00066598|94|18
argument.n.bnc.00066601|180|37
argument.n.bnc.00066898|218|37
argument.n.bnc.00068257|155|28
argument.n.bnc.00068326|316|65
argument.n.bnc.00068337|613|104
argument.n.bnc.00068379|496|84
argument.n.bnc.00068380|767|137
argument.n.bnc.00068464|349|61
argument.n.bnc.00068469|607|104
argument.n.bnc.00068510|365|61
