"word","instance","correct","colocation","cooccurrence","lastword"
"different.a.bnc",44391,"FALSE",FALSE,TRUE,FALSE
"different.a.bnc",44391,"TRUE",FALSE,FALSE,TRUE
"different.a.bnc",44391,"TRUE",FALSE,FALSE,FALSE
"disc.n.bnc",221477,"TRUE",TRUE,TRUE,TRUE
"disc.n.bnc",221477,"TRUE",TRUE,TRUE,FALSE
"disc.n.bnc",221477,"FALSE",TRUE,FALSE,TRUE
"disc.n.bnc",221477,"FALSE",TRUE,FALSE,FALSE
"disc.n.bnc",221477,"TRUE",FALSE,TRUE,TRUE
"disc.n.bnc",221477,"TRUE",FALSE,TRUE,FALSE
"disc.n.bnc",221477,"TRUE",FALSE,FALSE,TRUE
"disc.n.bnc",221477,"FALSE",FALSE,FALSE,FALSE
"eat.v.bnc",31700,"TRUE",TRUE,TRUE,TRUE
"eat.v.bnc",31700,"TRUE",TRUE,TRUE,FALSE
"eat.v.bnc",31700,"TRUE",TRUE,FALSE,TRUE
"eat.v.bnc",31700,"TRUE",TRUE,FALSE,FALSE
"eat.v.bnc",31700,"TRUE",FALSE,TRUE,TRUE
"eat.v.bnc",31700,"FALSE",FALSE,TRUE,FALSE
"eat.v.bnc",31700,"FALSE",FALSE,FALSE,TRUE
"eat.v.bnc",31700,"TRUE",FALSE,FALSE,FALSE
"plan.n.bnc",59052,"TRUE",TRUE,TRUE,TRUE
"plan.n.bnc",59052,"TRUE",TRUE,TRUE,FALSE
"plan.n.bnc",59052,"FALSE",TRUE,FALSE,TRUE
"plan.n.bnc",59052,"TRUE",TRUE,FALSE,FALSE
"plan.n.bnc",59052,"TRUE",FALSE,TRUE,TRUE
"plan.n.bnc",59052,"TRUE",FALSE,TRUE,FALSE
"plan.n.bnc",59052,"TRUE",FALSE,FALSE,TRUE
"plan.n.bnc",59052,"FALSE",FALSE,FALSE,FALSE
