"id","classifier","bootstrapping","colocation","cooccurrence","unstemmed","dependencyParsing","featureX","featureY","featureZ"
49,"Naïve Bayes",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
50,"Naïve Bayes",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
51,"Naïve Bayes",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
52,"Naïve Bayes",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
53,"Naïve Bayes",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
54,"Naïve Bayes",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
55,"Naïve Bayes",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
56,"Naïve Bayes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,"Naïve Bayes",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
58,"Naïve Bayes",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
59,"Naïve Bayes",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
60,"Naïve Bayes",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
61,"Naïve Bayes",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
62,"Naïve Bayes",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
63,"Naïve Bayes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
64,"Naïve Bayes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,"Decision tree",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
66,"Decision tree",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
67,"Decision tree",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
68,"Decision tree",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
69,"Decision tree",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
70,"Decision tree",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
71,"Decision tree",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
72,"Decision tree",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,"Decision tree",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
74,"Decision tree",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
75,"Decision tree",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
76,"Decision tree",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
77,"Decision tree",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
78,"Decision tree",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
79,"Decision tree",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
80,"Decision tree",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
